الحي,10th Percentile,25th Percentile,50th Percentile,75th Percentile,90th Percentile,Mean
المنصورة,1576.3549206349207,2006.25,2500.0,3266.5,4372.981684981687,2734.3648361698747
المنصورية,508.18181818181824,650.0,700.0,1025.0,2264.7999999999997,1085.1689272593935
المهدية,1830.6742575681044,2200.0,2650.0,3300.0,5000.0,2983.8601382594493
المونسية,2584.9006750908775,3720.0,4689.0,5712.0,6846.481481481484,4703.928634345946
الناصرية,1640.2089136490251,2789.745575,4081.8008903115287,5655.774575,7431.6854648915205,4482.986825817335
النخبة,283.14180999999996,317.508625,354.9851,391.6338,424.51062,354.157325
النخيل,6515.4,8710.0,9267.697314890154,11341.7165,13436.52966145274,9947.535705534707
الندوة,1022.2222222222223,1537.0,2175.383152173913,2499.9987499999997,3142.8571228571436,2159.9850655544565
الندى,2635.6111111111113,3150.0,4607.0,7808.757305739196,10534.191735537192,5789.895097934886
النرجس,4000.0,4790.0,5350.0,6650.74992447419,8508.652870402699,5841.772443219779
النزهة,2567.495351349755,5350.0,7121.057275200354,8010.714285714286,11872.222222222224,6829.441694444673
النسيم,1110.0,1578.3883175542405,2080.0,2874.0,4276.163309044149,2688.582405863138
النظيم,762.4106,900.0,970.000272985368,1333.0,2331.8,1296.2070969918962
النعيم,3926.282,3926.282,3926.282,3926.282,3926.282,3926.282
النفل,2539.1525423728813,4608.80555,7690.169817927171,10046.21132669114,11462.489529234379,7319.194864208267
النموذجية,2224.1391834301003,2599.8216585752502,2750.0,3869.0476,3988.0952304761904,3052.0027552071138
النهضة,1666.6666666666667,2340.0,3000.0,3894.651038791423,5333.333333333333,3198.7135754656583
النور,696.0,958.859953449563,1372.0,1962.5,2400.0,1451.7657002741746
الهدا,4489.99596,4894.0705,6299.44500750346,7570.219392752204,10889.115099951967,6911.106196282216
الواحة,5655.79698,5800.0,7094.91552795031,7500.0,8124.714285714286,7102.7006350119555
الوادي,2223.3134933333336,3809.5238095238096,4636.3636,6834.501254433774,7655.796816363638,5090.278791333802
الورود,3400.0,4655.0,6000.0,9183.393110915613,12588.821126839368,7160.785449786619
الوزارات,2649.735436402116,3431.0,4444.4444,6113.53711790393,7537.200000000001,5115.79884366865
الوسيطا,1571.91774,2168.54205,3606.0,5881.981825,7987.9491100000005,4444.523875
الوشام,1428.41444,1625.4028635734599,2057.6131,2489.5,3654.913914297686,2217.458571742325
الياسمين,3385.5117,5230.2722480769235,6665.5,8483.1502,10016.0,7057.898505905782
اليرموك,2068.754827484421,2950.0,3966.7402234636875,5292.187021127003,6413.19285387082,4153.480136286537
اليمامة,828.7711600000001,1304.8078,2193.9447125932425,2714.0,2728.0,2101.767409561029
ام الحمام,1888.6791652830188,2800.0,3919.418040153826,5375.493019607843,7860.058339999995,4625.005053475741
ام الشعال,22.681690000000007,55.029174999999995,105.75333965118186,140.66678172792965,144.55496609394828,89.94261707674778
ام سليم,1040.46632,1540.8039729264246,2410.8093185990338,3618.038675,4969.610981788375,2745.6991306342243
بدر,900.0,1000.0,1100.0,1975.0,3175.351901766996,1585.5199814141113
بنبان,1242.857142857143,1242.857142857143,1836.734693877551,2142.8571428571427,2168.5714285714284,1729.6651825047968
ثليم,934.4,1157.8947,2337.4888,4537.521815008726,6200.850400000001,3472.2733718632376
جبره,913.3708228835865,1016.3211271532134,1187.9049676025918,2176.6692170739584,2769.9277667567785,1732.6919069505839
جرير,2000.0,2489.0,4133.0,5780.379780116777,6765.347705753825,4241.372565464707
حطين,6666.6666,7429.6779,8367.8616,9379.293864627518,11753.689414937448,8644.734413101043
حلة الخريجى,1411.0,1411.0,1411.0,1411.0,1411.0,1411.0
حلة العماج,3709.0,3709.0,3709.0,3709.0,3709.0,3709.0
حلة بن دايل,779.1489589322994,1468.495102071006,2028.7489552465618,2722.2222222222226,3749.160317460318,2121.1193838120753
خنشليلة,759.2,1286.9565,1880.0,2600.0,3324.0126984126982,2061.3438919837163
دعكنة,980.0000000000001,1742.147925,1967.65,2657.0609275513452,3175.33658,2096.4267572649424
ديراب,666.6666666666666,992.0,1100.0,1718.213058419244,3255.0,1539.8102106569013
سدرة,3439.8,3534.75,4930.296,6129.44195,6713.000000000001,5009.154252631579
سكيرينة,711.0,919.5963302250805,2114.7235543018332,2882.155853314527,3393.5,2503.5024169456656
سلطانة,1066.1241904761905,1400.4294650359443,1738.0,2329.1925,3359.7746606334854,2062.522756157569
شبرا,1400.0,1968.896,2398.5617,3458.9895273513384,4525.8,2758.960423862963
شرق الرياض,300.0,378.2080203781513,457.516339869281,555.5555555555555,667.0,480.3294737232351
شمال الرياض,4798.0,4798.0,4798.0,4798.0,4798.0,4798.0
صلاح الدين,4828.524426440864,7020.80611610216,9047.011669248353,10385.15968777037,11338.93781510815,8358.954134624177
صياح,438.8375867854269,669.9869054601503,1064.3900668729061,1499.6154800997783,1804.2448520399116,1105.2123186870226
طريق الحجاز,1033.3333333333333,1553.3333333333335,2072.5552050473184,2760.449468085106,3226.451146457344,2119.991549906805
طريق الخرج,170.01087967824617,340.73045,433.2890025575448,504.1535532994924,650.0000036595533,429.8585798938807
طريق خريص,163.12998000000002,165.735,170.0767,884.3988615907275,1312.992158545164,643.3970077271516
طويق,1211.4538896969696,1800.0,2250.0,3524.0803665013395,4161.267360000001,2584.70316627274
طيبة,700.0,800.0,880.0,1100.0,2664.714818320234,1205.978902831662
ظهرة العودة,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
عتيقة,950.1554641060814,1272.75,1725.8736523573202,2957.762052189297,4173.248009090908,2577.3637982515324
عرقة,2910.0,4450.0,6000.0,7462.573297761621,9024.787458456512,6075.703943905368
عريض,525.0,622.2222,733.0,831.0,933.3333333333334,745.4496247091796
عكاظ,1050.0,1220.0,1400.0,2973.1397500000003,3584.95452,1985.2660648383483
عليشة,176.19801942295294,334.69886813942014,1799.8431,2749.8913892172177,3622.1096199999997,1851.031035707926
غبيراء,953.580901856764,1314.484107142857,1818.1818181818185,2412.121212121212,3368.47044192631,2017.5200856783622
غرب المطار,6165.7,6388.083333333333,6758.722222222223,7129.361111111111,7351.7444444444445,6758.722222222223
غرناطة,1734.8571428571431,3254.7352499999997,4600.0,6314.372268091307,7634.974288813559,4790.688399062708
قرطبة,3233.3125201455086,4850.0,5859.0,6813.0326,8330.302111751036,5871.721415731119
لبن,1564.375011684063,2125.0,2953.9627,3857.337843451428,4913.18788,3107.899587501519
مدينة الملك عبدالله بن عبد العزيز للطاقة,250.00000000000003,250.00000000000003,250.00000000000003,250.00000000000003,250.00000000000003,250.00000000000003
مطار الملك خالد الدولى,2118.4945888360835,2530.091158123371,2939.49,2939.49,3150.81,2768.6221666653746
معكال,2683.884742708272,3105.4118368282257,3831.098770176787,3879.4978084962913,3959.593863789615,3468.2206886936365
منفوحة,974.4233214925373,1407.4074074074074,2282.410225197809,3492.4330616996504,4585.870712060852,2635.7622080145347
نمار,605.5101796407185,838.143605870021,1023.7892133476693,1233.0,2148.7427100000014,1232.5554289420847
هيت,133.3333,350.0,398.0489225393128,400.0,400.0,350.5466844372106
